,male_0,female_0,unspecified_0
carpenter,0.0,4.35,6.5
counselor,8.55,0.0,6.550000000000004
cashier,0.0,9.7,6.400000000000002
hygienist,0.0,15.25,6.7
dietitian,0.0,0.0,2.3999999999999915
lawyer,0.0,0.0,7.449999999999996
electrician,2.5,19.25,7.950000000000003
surgeon,3.1,0.0,0.0
officer,0.0,0.0,5.199999999999989
paramedic,0.0,0.0,11.950000000000003
pathologist,0.0,0.0,27.25
psychologist,0.0,0.0,42.7
engineer,24.400000000000006,24.6,14.3
chemist,0.0,0.0,0.0
manager,6.049999999999997,0.0,28.7
receptionist,6.25,0.0,24.1
advisor,0.0,0.0,0.10000000000000053
machinist,0.0,0.0,0.0
hairdresser,0.5500000000000114,1.1999999999999886,20.299999999999997
secretary,9.3,15.049999999999997,1.7999999999999972
janitor,0.0,0.0,0.0
salesperson,0.0,0.0,13.1
practitioner,0.29999999999998295,0.0,16.44999999999999
veterinarian,0.5,4.7,21.150000000000013
specialist,0.0,0.0,25.299999999999997
plumber,8.100000000000001,10.95,6.599999999999994
broker,0.0,2.200000000000003,3.349999999999998
mechanic,8.65,0.0,0.0
planner,0.0,0.0,0.0
librarian,5.7,0.0,0.0
firefighter,0.0,0.0,0.0
technician,5.75,0.0,8.5
nurse,9.649999999999999,0.0,0.10000000000000142
paralegal,4.549999999999997,12.0,14.149999999999991
dispatcher,9.599999999999994,8.5,20.05000000000001
bartender,0.0,12.25,0.0
doctor,2.0500000000000114,3.0,26.69999999999999
physician,0.0,0.0,24.6
accountant,0.0,0.0,0.0
investigator,1.0999999999999996,2.250000000000001,13.599999999999994
appraiser,0.0,0.0,22.3
pharmacist,21.45,0.0,34.400000000000006
worker,0.0,0.0,0.0
scientist,0.3500000000000085,7.25,0.0
teacher,0.0,0.0,0.0
nutritionist,0.0,50.0,0.0
painter,0.0,0.0,23.450000000000003
programmer,2.3,0.0,0.8000000000000114
