,female_0,unspecified_0,male_0
worker,0.0,21.25,0.2499999999999999
nurse,0.0,0.8500000000000001,5.699999999999989
dietitian,0.9500000000000002,0.5499999999999999,1.6500000000000057
practitioner,0.29999999999999993,1.9000000000000001,0.29999999999999716
receptionist,1.0,1.45,1.2999999999999998
paramedic,0.5499999999999999,0.34999999999999964,0.04999999999999993
appraiser,0.3499999999999943,4.1,0.34999999999999987
nutritionist,0.5,0.0,0.0
salesperson,0.0,0.0,0.0
mechanic,4.95,11.049999999999999,0.30000000000000004
planner,0.0,0.0,0.0
psychologist,1.05,9.35,3.2499999999999996
secretary,5.5,2.6999999999999993,4.750000000000002
hairdresser,0.15000000000000002,0.5,1.3000000000000114
accountant,0.1499999999999999,0.75,0.6499999999999999
carpenter,0.1,1.75,0.0
manager,8.45,1.45,0.4999999999999999
cashier,0.0,10.700000000000003,1.0999999999999943
firefighter,0.45,0.9,0.75
chemist,0.0,0.19999999999999998,0.15
engineer,0.1499999999999999,8.200000000000003,13.600000000000001
doctor,0.30000000000000004,1.3499999999999996,0.050000000000000044
pathologist,0.5,6.25,0.19999999999999996
painter,0.4500000000000002,4.55,0.3499999999999943
veterinarian,0.5000000000000002,5.450000000000001,0.39999999999999947
counselor,0.0,0.0,0.09999999999999987
lawyer,0.2,6.599999999999994,2.1
technician,6.0,1.3499999999999999,7.8
electrician,0.6499999999999999,2.2,0.549999999999983
officer,0.10000000000000853,6.2,0.0
pharmacist,0.1499999999999999,6.8999999999999915,0.09999999999999987
teacher,1.8499999999999999,11.0,4.5
bartender,0.0,2.1,1.9500000000000028
broker,0.7999999999999998,9.500000000000014,3.05
dispatcher,2.200000000000003,19.25,1.6500000000000004
physician,4.1,6.95,0.29999999999999993
janitor,2.0999999999999943,3.549999999999999,0.5
surgeon,0.0,0.0,0.0
advisor,0.15000000000000568,1.8499999999999999,0.55
machinist,0.3500000000000001,17.650000000000006,2.2500000000000004
hygienist,1.4,11.150000000000013,0.3999999999999999
librarian,0.85,12.349999999999994,0.09999999999999432
specialist,0.700000000000017,8.2,0.8
programmer,0.19999999999999996,1.6,0.34999999999999987
plumber,0.950000000000017,2.3,1.8499999999999999
scientist,0.05000000000000071,7.4,1.5999999999999943
investigator,0.4999999999999858,0.14999999999999997,0.05000000000000002
paralegal,1.5499999999999972,0.0,1.6
