,male_0,unspecified_0,female_0
technician,0.0,2.0,0.0
manager,0.0,1.2499999999999991,0.0
paralegal,0.0,26.0,0.0
scientist,0.0,26.15,0.0
investigator,0.0,8.25,0.0
specialist,0.0,1.1999999999999997,0.2
physician,0.0,25.35,0.0
secretary,0.0,0.25,0.0
pharmacist,0.0,35.0,0.0
paramedic,0.0,0.8500000000000005,0.25
veterinarian,0.0,27.799999999999997,0.0
engineer,0.0,2.1499999999999995,0.0
dispatcher,0.0,1.1,0.20000000000000284
bartender,0.0,32.05,0.0
surgeon,0.35,0.0,0.0
salesperson,0.0,2.5999999999999996,0.09999999999999432
planner,0.0,6.3999999999999915,0.0
electrician,0.0,2.450000000000001,0.0
advisor,0.0,20.5,0.0
psychologist,0.0,15.849999999999994,0.05000000000001137
carpenter,0.0,5.8999999999999995,0.0
painter,0.0,1.5000000000000002,0.0
officer,0.0,0.2,0.0
worker,0.0,1.5499999999999998,0.09999999999999432
appraiser,0.0,13.1,0.0
nutritionist,0.0,17.049999999999997,0.0
lawyer,0.0,23.3,0.0
broker,0.0,18.15,0.0
chemist,0.0,0.85,0.04999999999999716
accountant,0.04999999999999716,0.8,0.09999999999999432
janitor,0.0,1.1999999999999997,0.20000000000000284
dietitian,0.0,6.950000000000003,0.0
plumber,0.0,1.4,0.0
librarian,0.0,2.0000000000000004,0.0
receptionist,0.04999999999999716,12.150000000000006,0.0
machinist,0.0,8.7,0.0
doctor,0.05,0.15000000000000013,0.09999999999999432
teacher,0.0,7.599999999999994,0.0
cashier,0.0,19.299999999999997,0.0
programmer,0.0,7.0,0.0
hygienist,0.0,12.449999999999989,0.19999999999998863
nurse,0.0,3.1999999999999993,0.0
mechanic,0.0,8.45,0.0
firefighter,0.0,7.45,0.0
counselor,0.0,3.3499999999999996,0.0
practitioner,0.0,6.3999999999999995,0.0
pathologist,0.0,12.75,0.0
hairdresser,0.0,5.1499999999999995,0.0
