,female_0,unspecified_0,male_0
receptionist,0.15000000000000036,7.349999999999994,11.650000000000002
dispatcher,0.5,0.0,0.0
hairdresser,2.0,1.2999999999999998,0.4000000000000057
mechanic,3.1000000000000005,1.6,1.9
officer,0.45000000000001705,0.0,11.450000000000001
investigator,0.05,16.549999999999997,0.0
plumber,9.899999999999991,1.0999999999999999,0.29999999999999993
scientist,3.3999999999999915,2.55,8.449999999999989
pharmacist,2.0,9.549999999999983,1.9500000000000028
hygienist,0.75,3.0,5.1
engineer,9.100000000000001,19.0,18.050000000000004
pathologist,0.5499999999999998,10.85,3.5
accountant,8.950000000000003,11.950000000000003,9.500000000000014
counselor,0.44999999999998863,0.0,1.25
carpenter,5.0,0.25,0.1
doctor,0.05000000000001137,0.29999999999999893,2.3999999999999995
nutritionist,0.0,24.850000000000023,0.4000000000000057
secretary,6.550000000000011,0.9499999999999993,2.3000000000000007
lawyer,0.0,16.85,0.0
firefighter,2.6000000000000085,5.049999999999999,1.7999999999999998
specialist,0.45000000000000284,0.25,0.3999999999999999
painter,4.450000000000001,2.1499999999999986,1.0999999999999943
manager,0.75,6.150000000000002,9.849999999999994
practitioner,0.5499999999999998,30.699999999999996,2.3000000000000003
advisor,2.450000000000003,24.3,8.999999999999998
machinist,11.599999999999998,0.0,5.199999999999999
bartender,2.6000000000000014,26.85,16.75
nurse,0.0,5.400000000000006,1.8999999999999986
broker,0.09999999999999964,4.950000000000001,0.30000000000000004
worker,0.050000000000000044,0.0,0.20000000000000284
cashier,1.3500000000000005,28.099999999999994,2.200000000000003
salesperson,4.050000000000001,14.099999999999994,2.15
librarian,0.1499999999999999,0.8999999999999999,4.449999999999989
teacher,0.3999999999999999,35.5,10.650000000000006
paralegal,13.400000000000006,30.299999999999997,12.250000000000002
janitor,6.8500000000000085,10.3,0.15000000000000213
appraiser,2.249999999999986,13.250000000000002,1.35
electrician,6.299999999999997,8.449999999999989,0.45000000000000007
programmer,0.5999999999999996,0.6500000000000004,1.4000000000000057
technician,2.799999999999983,5.1,2.6499999999999995
physician,1.8499999999999996,9.75,3.4999999999999996
paramedic,0.19999999999999996,0.3999999999999999,0.050000000000000044
chemist,1.4000000000000057,14.099999999999998,0.30000000000000004
planner,2.8499999999999943,4.8,0.0
psychologist,3.700000000000003,3.5,6.15
surgeon,0.0,4.5,0.0
dietitian,4.75,5.9,4.25
veterinarian,0.10000000000000853,13.549999999999997,1.1500000000000001
