,female_0,unspecified_0,male_0
nutritionist,2.700000000000003,0.0,0.3500000000000085
bartender,2.9499999999999997,2.95,0.7999999999999998
broker,23.19999999999999,0.0,0.6999999999999997
firefighter,0.9000000000000057,2.9000000000000057,7.7
officer,0.10000000000000009,0.0,4.449999999999989
librarian,21.450000000000003,5.0,0.6999999999999993
technician,0.2500000000000009,0.44999999999999996,40.75
plumber,1.9,8.95,23.3
nurse,22.799999999999997,22.65,0.0
salesperson,7.1499999999999915,16.700000000000003,2.3499999999999943
advisor,3.3,15.25,7.799999999999997
machinist,0.8999999999999915,0.0,22.450000000000017
electrician,9.899999999999991,0.0,2.9
pathologist,3.000000000000014,1.9,13.300000000000004
pharmacist,7.899999999999999,85.10000000000001,3.1500000000000057
practitioner,1.049999999999983,10.2,5.700000000000001
planner,0.8499999999999999,7.1000000000000085,0.25
painter,11.849999999999998,5.6,41.65
receptionist,5.349999999999994,9.349999999999994,6.750000000000001
paralegal,2.5999999999999996,40.85,7.099999999999994
engineer,60.39999999999999,32.9,1.75
mechanic,8.349999999999994,0.0,1.0500000000000003
teacher,0.4,18.7,0.0
investigator,1.5999999999999996,4.300000000000001,0.8
lawyer,0.65,2.5,12.850000000000001
physician,2.049999999999983,10.399999999999977,0.5
worker,8.899999999999999,22.450000000000003,2.8000000000000114
paramedic,0.5000000000000142,2.0,1.3000000000000114
hairdresser,4.6499999999999915,1.9500000000000002,0.0
secretary,1.35,67.94999999999999,19.14999999999999
scientist,1.9500000000000002,0.0,2.999999999999986
counselor,7.75,12.85,16.0
carpenter,6.199999999999999,2.85,16.64999999999999
veterinarian,2.5999999999999996,4.949999999999999,47.449999999999996
doctor,29.599999999999998,1.3,0.6500000000000001
dispatcher,2.25,95.9,2.1
hygienist,4.85,0.6500000000000004,2.549999999999997
appraiser,32.5,2.25,0.3500000000000001
manager,5.349999999999994,8.950000000000003,14.25
cashier,7.649999999999999,0.45,1.45
programmer,0.15000000000000002,2.25,0.3999999999999999
specialist,0.6500000000000001,3.6500000000000004,1.4
accountant,1.85,12.099999999999994,2.95
janitor,1.0,45.650000000000006,24.0
chemist,0.3500000000000001,2.05,0.4000000000000057
surgeon,15.8,19.4,44.35000000000001
dietitian,3.9000000000000004,8.700000000000003,0.9000000000000004
psychologist,1.85,7.199999999999999,1.5
