,other_1,someone_1,woman_1,man_1,someone_0,woman_0,other_0,man_0
pathologist,18.89999999999999,13.649999999999999,0.0,0.04999999999999716,0.0,21.900000000000006,0.0,0.0
auditor,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
counselor,0.0,22.749999999999996,0.0,0.0,29.450000000000003,8.599999999999998,18.89999999999999,0.0
educator,19.25,0.0,10.8,0.0,74.55,0.0,0.0,0.0
practitioner,0.15000000000000013,1.1500000000000004,0.9500000000000011,7.699999999999989,15.399999999999999,8.75,12.650000000000006,0.44999999999999996
programmer,4.6,10.299999999999997,4.25,0.0,0.3999999999999999,0.050000000000000044,2.6500000000000057,0.0
planner,0.0,0.0,0.0,0.0,0.0,9.1,8.849999999999994,0.0
dietitian,0.0,7.850000000000001,0.45000000000001705,0.0,0.0,0.0,12.150000000000002,23.5
veterinarian,9.800000000000004,0.0,0.0,0.0,6.900000000000006,0.2999999999999998,8.599999999999994,0.09999999999999964
physician,8.15,7.800000000000001,0.0,1.0499999999999972,0.8500000000000014,0.0,0.0,0.0
investigator,10.349999999999994,17.39999999999999,0.0,0.0,0.0,3.6999999999999993,0.0,0.0
inspector,10.850000000000001,3.4000000000000004,0.7999999999999972,0.8000000000000007,4.449999999999999,7.5,2.799999999999999,2.250000000000014
worker,1.9499999999999886,1.8500000000000014,0.0,7.0,7.8,2.6500000000000057,3.05,1.95
engineer,7.4,0.0,6.050000000000001,7.800000000000001,1.25,9.649999999999991,5.100000000000001,2.950000000000003
painter,0.0,5.749999999999986,0.0,1.2999999999999972,3.950000000000003,2.999999999999986,14.5,0.0
broker,10.650000000000006,13.549999999999997,0.0,3.9000000000000004,11.499999999999993,4.799999999999997,1.0500000000000007,4.300000000000011
surgeon,0.0,0.0,16.60000000000001,0.0,0.0,0.0,9.2,0.0
librarian,1.8499999999999996,0.0,0.0,0.9500000000000002,1.0500000000000007,3.15,0.0,0.6000000000000014
teacher,11.800000000000004,11.649999999999991,1.1499999999999995,1.0,2.0999999999999996,11.75,0.5,7.099999999999994
administrator,17.64999999999999,1.25,0.0,7.3,21.449999999999996,8.099999999999994,0.0,0.0
