,someone_0,man_1,other_0,man_0,someone_1,other_1,woman_1,woman_0
counselor,0.09999999999999432,0.0,0.05,0.0,7.550000000000011,0.0,0.0,20.60000000000001
instructor,0.0,0.0,4.650000000000002,0.0,0.0,0.5,0.0,0.0
plumber,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broker,25.699999999999996,0.0,0.6000000000000014,20.15,1.75,5.549999999999997,0.0,0.0
pathologist,1.1999999999999993,0.0,4.199999999999989,0.0,8.249999999999993,11.450000000000003,0.0,0.0
inspector,21.400000000000006,0.0,4.8500000000000085,0.0,0.7999999999999989,0.0,0.0,0.0
teacher,11.899999999999999,0.0,9.700000000000003,31.450000000000003,0.0,0.0,0.0,0.0
psychologist,0.0,0.0,14.25,3.450000000000003,0.0,2.5,0.05,53.3
auditor,0.0,0.0,9.199999999999996,2.8000000000000114,2.3000000000000114,8.700000000000003,0.0,0.0
machinist,0.0,0.0,1.5999999999999979,2.6000000000000014,0.0,0.0,0.0,0.0
firefighter,35.099999999999994,0.0,0.0,0.0,12.000000000000002,0.0,0.0,50.0
carpenter,0.0,0.0,0.0,0.0,8.449999999999996,1.8999999999999915,0.0,0.0
lawyer,91.15,0.0,0.8999999999999986,0.0,13.599999999999994,13.099999999999994,0.0,0.0
planner,3.299999999999997,0.0,16.35,0.0,0.0,33.25,0.0,0.0
bartender,2.200000000000003,0.0,0.0,0.0,9.5,0.0,0.0,0.0
receptionist,0.0,0.0,0.05,0.0,0.0,0.0,1.7000000000000028,0.75
architect,0.0,10.049999999999997,4.25,0.0,0.0,2.25,5.700000000000017,0.0
veterinarian,19.049999999999997,9.4,0.0,15.0,1.4000000000000057,0.0,3.2,5.75
appraiser,0.0,0.0,0.0,0.0,0.0,7.249999999999998,0.0,0.0
secretary,2.6500000000000057,0.0,1.4500000000000028,0.0,0.5999999999999943,7.25,0.0,14.75
electrician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.799999999999997
surgeon,1.7000000000000028,0.0,47.0,11.85,0.0,2.299999999999997,0.0,0.0
pharmacist,46.6,0.0,0.0,1.6500000000000057,2.299999999999997,0.0,0.0,0.0
hairdresser,10.750000000000002,0.0,5.849999999999998,0.0,11.6,0.09999999999999964,0.0,0.0
clerk,0.0,0.0,5.5,23.950000000000003,0.0,18.2,0.0,4.0
administrator,9.950000000000003,0.0,12.0,0.0,5.849999999999998,7.2499999999999964,20.75,11.25
officer,0.0,0.0,0.0,11.549999999999997,2.9499999999999957,0.0,0.0,0.0
salesperson,4.75,0.0,21.7,0.20000000000001705,5.850000000000001,5.800000000000011,0.0,0.0
baker,0.0,0.0,11.5,0.8999999999999915,0.0,0.0,0.0,13.049999999999997
investigator,10.850000000000009,0.0,9.149999999999999,0.0,4.850000000000001,10.700000000000003,0.0,0.0
scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dietitian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager,20.05,0.0,17.750000000000007,1.75,0.0,8.0,0.0,5.150000000000006
engineer,19.250000000000004,0.0,12.349999999999994,0.0,2.6000000000000014,0.0,0.0,0.0
examiner,25.199999999999996,0.0,0.0,0.0,2.299999999999997,0.29999999999999716,0.0,36.8
dispatcher,18.900000000000006,0.0,0.0,2.75,3.700000000000003,0.0,0.0,9.75
chef,12.600000000000009,0.0,13.950000000000003,10.75,4.800000000000011,0.0,0.0,0.9500000000000028
accountant,52.7,0.0,8.100000000000009,0.0,9.049999999999997,9.399999999999991,0.0,18.4
hygienist,4.699999999999999,0.0,0.0,0.0,0.09999999999999432,0.0,0.0,1.0
nutritionist,0.09999999999999998,0.0,0.0,0.0,5.300000000000001,0.0,0.0,3.4499999999999957
doctor,8.700000000000003,0.0,8.5,0.9499999999999886,0.0,0.15000000000000568,0.0,0.0
paramedic,1.0999999999999943,0.0,7.099999999999994,0.0,3.049999999999997,2.8500000000000085,0.0,0.0
worker,36.05,0.0,20.5,0.25,2.750000000000007,4.550000000000004,0.0,0.0
painter,0.0,0.0,15.0,0.0,0.0,11.5,0.0,0.0
practitioner,0.0,0.0,11.049999999999997,10.799999999999997,0.0,0.05000000000000426,0.0,29.299999999999997
mechanic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15
librarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paralegal,33.30000000000001,0.0,0.0,0.0,12.049999999999997,0.0,0.0,0.0
therapist,0.0,0.0,26.35,0.0,0.0,6.65,0.0,11.65
educator,3.5,0.0,0.0,0.0,11.750000000000002,0.0,0.0,0.0
cashier,0.0,0.0,0.0,13.149999999999999,4.75,0.0,0.0,20.049999999999997
programmer,0.0,0.0,4.200000000000003,8.6,0.04999999999999716,5.549999999999997,0.0,0.0
specialist,10.649999999999991,0.0,0.0,1.6500000000000057,6.050000000000004,0.0,0.0,0.0
technician,0.25,0.0,2.5,0.0,12.100000000000001,24.099999999999994,0.0,0.0
supervisor,15.849999999999994,0.0,41.3,6.75,2.4499999999999993,0.3500000000000085,0.0,0.0
advisor,0.0,0.0,0.0,1.1500000000000057,0.8000000000000114,4.25,0.0,22.25
physician,5.900000000000006,0.0,0.0,18.750000000000014,5.6000000000000085,0.0,0.0,0.0
janitor,24.14999999999999,0.0,0.0,0.40000000000000036,0.0,0.0,0.0,9.400000000000006
nurse,0.0,0.0,9.15,0.0,0.0,1.5500000000000114,0.0,0.0
chemist,14.149999999999999,0.0,0.0,0.05,0.0,3.4000000000000057,0.0,6.900000000000006
