,someone_1,woman_1,woman_0,other_0,man_0,someone_0,other_1,man_1
bartender,26.85,0.0,0.15000000000000002,15.750000000000002,5.25,3.8999999999999915,11.95,0.45000000000000007
teacher,2.6000000000000014,17.099999999999994,9.75,0.19999999999999996,0.20000000000000284,10.249999999999993,1.25,9.4
cashier,21.849999999999998,0.0,68.94999999999999,18.349999999999998,8.25,14.100000000000009,25.5,0.45000000000000284
nutritionist,0.0,0.0,74.0,60.5,30.450000000000003,0.0,2.1500000000000057,0.0
auditor,0.0,1.0,90.35,0.0,10.300000000000002,0.0,0.0,0.04999999999999716
janitor,10.600000000000001,0.9500000000000001,17.35000000000001,9.2,1.6500000000000004,0.8499999999999996,1.1999999999999957,0.9000000000000001
nurse,15.850000000000009,0.0,0.0,16.449999999999996,0.9999999999999999,24.39999999999999,0.0,0.0
plumber,0.0,0.0,1.25,1.5999999999999999,0.0,0.0,11.100000000000003,0.0
officer,1.0,0.0,1.4500000000000002,0.85,0.0,2.5,2.0000000000000004,0.0
practitioner,6.0000000000000036,0.0,37.7,0.8000000000000003,0.05,8.0,0.6500000000000004,0.0
accountant,7.5,0.0,0.3999999999999999,21.400000000000002,1.5,19.3,13.350000000000001,3.5
counselor,33.64999999999999,0.0,46.5,9.25,21.900000000000002,29.650000000000006,9.900000000000006,0.0
worker,8.349999999999994,13.0,0.0,1.2000000000000028,0.1,0.10000000000000009,6.75,1.0
baker,21.000000000000004,0.1,13.25,7.599999999999994,10.25,1.15,0.1499999999999999,35.05
lawyer,5.5,0.0,1.0,11.25,0.0,0.55,1.4,0.0
administrator,7.050000000000011,12.5,1.1500000000000057,25.299999999999997,0.5,50.35,53.349999999999994,0.04999999999999982
carpenter,20.349999999999994,0.0,0.3,10.350000000000009,3.15,14.449999999999989,18.499999999999986,0.0
inspector,27.25,11.95,0.09999999999999432,2.799999999999997,70.75,27.349999999999994,13.699999999999989,0.09999999999999998
electrician,49.55,0.0,3.549999999999997,12.649999999999999,0.050000000000000044,7.699999999999999,22.1,0.0
mechanic,20.799999999999997,0.0,44.9,7.15,0.1,9.850000000000001,11.450000000000003,0.0
educator,0.0,13.450000000000001,0.0,14.299999999999997,0.09999999999999432,0.0,26.05,1.9999999999999998
clerk,5.800000000000011,0.0,0.0,0.0,6.000000000000002,1.6499999999999915,1.1999999999999886,0.15000000000000002
supervisor,0.0,7.1,2.8999999999999915,0.0,0.0,0.0,0.0,2.950000000000003
engineer,48.35,0.0,9.45,25.000000000000007,17.799999999999997,2.9499999999999997,0.5499999999999972,0.0
dietitian,0.6499999999999999,0.0,1.5499999999999998,4.299999999999997,28.299999999999997,2.700000000000001,12.300000000000011,0.0
therapist,17.5,0.1,13.25,15.7,3.25,1.5,1.4499999999999993,8.149999999999999
chef,0.0,0.04999999999999716,0.0,0.0,0.1,0.0,18.35000000000001,0.0
manager,2.1999999999999993,20.6,0.0,0.2499999999999999,6.5,0.5000000000000004,3.049999999999997,8.949999999999992
hygienist,8.5,0.0,0.04999999999999716,0.5500000000000007,0.0,34.6,10.700000000000003,0.0
salesperson,0.3999999999999999,12.75,0.8500000000000001,6.600000000000001,0.24999999999999997,12.200000000000003,0.15,0.0
physician,10.100000000000001,0.0,2.1499999999999915,1.45,0.0,3.0,3.3500000000000005,0.0
doctor,0.6999999999999886,0.0,0.0,0.04999999999999999,0.0,1.4500000000000002,25.85,0.0
veterinarian,0.0,0.5499999999999998,4.75,34.85,0.0,25.65,9.950000000000001,0.0
machinist,0.0,0.0,0.0,19.499999999999996,0.0,0.24999999999999994,0.050000000000000044,0.44999999999999996
examiner,2.6499999999999995,0.0,2.85,5.049999999999983,5.299999999999999,3.8999999999999995,5.549999999999999,0.0
investigator,12.049999999999999,0.0,0.0,6.049999999999999,0.0,10.250000000000004,1.9999999999999982,0.0
chemist,7.699999999999996,0.0,0.0,20.45000000000001,0.0,26.900000000000002,16.549999999999997,0.0
paramedic,0.20000000000000284,0.0,9.650000000000002,17.349999999999998,1.5,1.7000000000000028,0.10000000000000003,0.0
technician,24.6,0.0,3.3499999999999943,3.0,0.0,4.25,1.1000000000000014,0.0
advisor,20.700000000000003,0.2,6.3500000000000005,0.8499999999999996,0.15000000000000002,15.100000000000001,1.9499999999999993,0.1
appraiser,20.9,0.0,0.1,0.25,1.2999999999999998,11.850000000000001,10.0,0.0
programmer,3.5500000000000043,0.55,1.0,16.35,2.6999999999999997,4.150000000000006,1.049999999999999,0.45
paralegal,10.099999999999998,0.1,89.1,5.9,1.75,1.9499999999999886,9.05,0.1
scientist,16.0,2.250000000000014,1.0,40.2,5.300000000000001,5.200000000000001,49.45000000000001,20.849999999999998
dispatcher,10.599999999999994,4.3500000000000005,0.0,0.5499999999999999,39.349999999999994,0.0,45.150000000000006,2.2499999999999996
pharmacist,8.849999999999994,0.0,20.0,14.2,1.200000000000001,4.55,29.85,0.0
architect,0.0,0.0,0.0,10.950000000000003,38.05,0.0,34.3,0.0
specialist,6.949999999999996,0.09999999999999432,0.29999999999999716,20.0,0.04999999999999999,16.599999999999998,17.949999999999996,19.15
instructor,9.849999999999994,0.0,0.0,50.50000000000001,0.0,26.299999999999997,18.0,0.15000000000000568
librarian,12.0,0.25,1.1,0.5000000000000002,0.0,12.5,13.3,1.9499999999999886
firefighter,0.7000000000000028,0.0,5.25,9.55,5.049999999999999,5.500000000000007,0.14999999999999147,0.0
planner,19.700000000000003,0.0,3.450000000000003,0.55,0.0,2.7,0.5499999999999998,0.0
painter,16.049999999999997,0.0,42.15,5.900000000000006,3.3500000000000005,12.049999999999997,17.050000000000004,0.0
broker,0.0,23.5,48.7,8.05,0.0,19.099999999999994,44.75,0.0
pathologist,5.450000000000003,0.0,0.0,21.0,0.0,4.149999999999999,0.9499999999999886,0.0
receptionist,8.400000000000002,30.700000000000003,27.6,0.3999999999999986,1.25,14.449999999999996,20.550000000000004,16.149999999999977
psychologist,50.05,63.75,6.3500000000000085,2.1999999999999993,0.09999999999999998,48.85000000000001,0.44999999999999973,0.0
secretary,26.300000000000004,0.15000000000000002,0.35,1.75,0.35,2.0,14.200000000000006,0.9500000000000002
hairdresser,2.4999999999999982,0.0,24.89999999999999,0.4500000000000002,0.35000000000000003,1.4999999999999991,1.8999999999999995,0.1
surgeon,3.9000000000000057,1.0999999999999943,1.6999999999999997,0.0,0.3,4.35,3.700000000000003,0.0
