,man_0,someone_0,other_1,woman_0,woman_1,someone_1,other_0,man_1
psychologist,9.350000000000009,75.55,0.0,5.249999999999999,0.9000000000000057,43.39999999999999,57.3,1.05
broker,1.7999999999999998,1.9,20.900000000000002,67.75,0.5499999999999998,0.0,0.3,4.3
salesperson,80.6,15.0,36.95,40.0,0.0,3.200000000000001,0.3000000000000007,0.0
hygienist,26.0,0.0,2.5500000000000043,0.0,0.2,0.2999999999999998,0.0,0.4000000000000057
paralegal,0.0,42.35,0.0,0.0,0.0,14.599999999999994,6.75,0.2
nutritionist,5.499999999999986,0.0,17.10000000000001,5.6499999999999915,0.0,48.150000000000006,0.0,0.0
librarian,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.5,2.45
janitor,31.8,42.7,0.0,48.449999999999996,0.1,2.8499999999999943,3.2,0.0
educator,29.60000000000001,40.74999999999999,9.499999999999996,11.549999999999999,6.099999999999994,15.5,19.900000000000006,0.0
instructor,0.0,0.0,38.55,0.0,0.3999999999999915,6.599999999999994,0.0,1.0499999999999972
dietitian,4.900000000000006,22.35,0.5999999999999996,9.85,0.0,45.400000000000006,25.300000000000004,0.0
pathologist,2.95,38.099999999999994,15.299999999999997,0.0,0.0,0.4,20.25,0.04999999999999716
dispatcher,26.9,4.1000000000000005,8.850000000000001,4.0,0.0,1.6,1.5,17.35
cashier,5.35,18.999999999999996,99.4,0.0,0.44999999999999996,1.9000000000000057,7.199999999999996,1.7999999999999998
worker,5.5,10.650000000000006,3.1,35.949999999999996,1.7,1.7,22.10000000000001,0.0
hairdresser,1.5,0.0,0.75,0.44999999999998863,0.0,59.64999999999999,3.6999999999999993,0.0
mechanic,17.700000000000003,7.5,31.25,8.4,0.8500000000000001,0.25,25.55000000000001,0.0
lawyer,2.0,48.45,16.099999999999994,28.549999999999997,1.25,21.5,2.55,0.0
baker,72.05,2.3999999999999986,12.0,51.10000000000001,0.19999999999999998,7.600000000000001,9.6,39.15
doctor,0.9,9.750000000000002,39.35,15.549999999999997,0.9000000000000057,13.749999999999996,1.1,0.6499999999999999
bartender,0.7,19.85000000000001,0.0,0.45,1.9499999999999997,2.05,10.75,0.0
architect,1.25,57.15,0.0,0.0,1.9999999999999858,6.450000000000001,0.0,1.1
veterinarian,4.9,75.69999999999999,0.0,91.3,0.9500000000000028,44.3,6.15,0.35
receptionist,0.09999999999999432,4.199999999999999,81.6,0.0,1.4499999999999886,0.0,3.05,1.3499999999999943
auditor,65.8,0.0,4.25,0.0,0.0,100.0,15.699999999999998,0.0
planner,0.0,0.0,39.4,13.149999999999999,0.0,78.55,36.599999999999994,0.0
specialist,12.449999999999989,81.35,9.15,11.25,2.25,0.6000000000000005,0.09999999999999432,0.0
accountant,59.900000000000006,7.699999999999999,8.65,17.45,3.3000000000000003,49.55,51.9,1.5500000000000114
inspector,25.25,15.849999999999998,100.0,0.0,0.0,0.0,12.2,0.0
firefighter,0.14999999999999858,32.6,7.800000000000001,12.099999999999994,0.0,0.0,1.6999999999999993,0.0
engineer,42.7,67.25000000000001,0.0,35.55,0.30000000000001137,4.1,9.850000000000001,0.05
programmer,8.0,48.949999999999996,42.550000000000004,0.1499999999999999,0.09999999999999432,2.000000000000007,3.6500000000000057,12.5
nurse,0.0,0.0,36.1,0.0,0.25,46.599999999999994,0.0,0.6499999999999999
paramedic,30.299999999999997,26.4,45.75,11.0,1.0499999999999972,22.450000000000003,70.9,1.6500000000000004
officer,1.4000000000000057,1.7000000000000002,0.6500000000000057,0.0,0.7499999999999858,0.0,0.0,0.0
painter,0.0,0.0,46.050000000000004,96.75,2.05,8.300000000000011,46.2,6.699999999999999
electrician,50.15,10.5,0.0,38.800000000000004,0.04999999999999999,1.75,53.2,0.05
examiner,45.25,71.8,43.949999999999996,50.85,39.349999999999994,0.0,0.0,0.0
practitioner,0.05,87.44999999999999,46.900000000000006,1.1,3.3499999999999943,36.0,6.55,0.1
carpenter,0.15000000000000568,6.3,0.0,25.049999999999997,6.6,65.05,0.0,0.4
chemist,0.8,4.6,7.300000000000001,1.4000000000000004,0.2999999999999998,1.6500000000000057,2.2,0.29999999999999716
manager,1.4500000000000002,11.45,26.55,17.950000000000003,1.15,0.6499999999999915,0.0,5.549999999999997
investigator,3.35,79.94999999999999,6.8,49.150000000000006,2.15,7.950000000000003,17.400000000000006,0.0
physician,0.3,6.299999999999997,15.45,0.0,0.55,0.2999999999999998,8.0,0.6000000000000085
therapist,0.0,6.75,62.1,0.15000000000000002,0.0,7.800000000000011,100.0,0.35
chef,0.0,6.900000000000006,0.0,16.55000000000001,0.0,13.55,16.80000000000001,0.25
teacher,90.55,20.55,0.0,1.8499999999999943,0.7000000000000002,3.9000000000000004,2.75,6.75
technician,0.0,1.7,9.0,7.899999999999999,0.0,0.45,13.65,0.5
pharmacist,0.9500000000000002,65.7,0.0,0.2,0.5499999999999972,7.45,22.45,0.0
surgeon,6.549999999999997,0.0,18.8,26.349999999999998,42.55,35.550000000000004,9.8,0.5
clerk,9.849999999999994,0.0,0.0,22.450000000000003,0.0,56.2,49.35,2.65
secretary,0.75,1.6500000000000004,6.550000000000004,0.3,0.20000000000000004,82.4,1.8000000000000003,0.09999999999999432
machinist,0.0,33.0,0.0,0.0,0.9,76.15,12.3,0.0
supervisor,0.3499999999999943,23.6,3.200000000000003,9.600000000000009,0.45,37.05,7.099999999999998,0.3
appraiser,1.15,9.75,8.75,2.6500000000000057,0.05000000000000002,1.7499999999999998,0.2999999999999998,0.6000000000000085
counselor,0.6,100.0,31.849999999999994,0.2,0.0,32.65,55.8,0.5499999999999972
scientist,27.099999999999998,6.1000000000000005,11.899999999999997,15.150000000000006,0.0,13.049999999999997,62.55,0.45
plumber,1.9000000000000057,0.0,62.65,0.0,5.65,0.0,0.0,0.0
advisor,54.10000000000001,7.700000000000003,7.300000000000001,1.0,1.5,0.0,3.2499999999999964,0.2
administrator,3.0,0.0,66.39999999999999,89.85,5.450000000000003,12.800000000000004,44.95,0.0
